session_id,label,sub_pattern,num_requests,session_duration_sec,mean_inter_request_time,std_inter_request_time,min_inter_request_time,unique_params_touched,param_reuse_rate,failed_request_rate,endpoint_diversity,user_agent_entropy,mouse_or_client_signal_present,discount_code_attempts,geo_ip_consistency,time_of_day_bucket
826d4201-40f5-45bc-94a2-67d0c65c7f89,normal,regular,10,182.543,20.2826,30.3284,1.9517,10,0.0214,0.042,5,0.1111,True,0,True,morning
64d0ddc2-40b5-4c39-ba1c-1c5d8ad2083a,normal,ai_shopping_agent,16,55.016,3.6677,3.8332,0.5149,11,0.2578,0.0434,5,0.0227,False,2,True,afternoon
bf079a78-b0a7-48a1-bc4e-af4bc389f6a5,normal,regular,5,29.76,7.4399,4.4415,2.2318,10,0.0599,0.1004,2,0.1158,True,0,True,morning
a6d3da26-4663-4739-91fd-c9cfedc6a61e,normal,regular,15,190.92,13.6371,19.0651,0.914,2,0.0372,0.0239,5,0.0489,True,1,True,night
4826dbba-6ab1-445b-8753-d6a805b810bd,normal,regular,9,69.485,8.6856,5.8431,0.969,10,0.0002,0.0715,5,0.0212,True,0,True,morning
d9afe18c-f080-4d0d-bbe4-a5d1b74b7df3,normal,ai_shopping_agent,16,68.703,4.5802,7.0982,0.6394,17,0.219,0.2164,4,0.1001,False,2,True,afternoon
a77748f4-9bbb-41f6-9a22-bd6fd497b09d,normal,regular,14,107.227,8.2482,5.3257,1.66,5,0.0761,0.0047,2,0.0917,True,1,True,night
bdb05d3f-7e40-4022-84c4-27c281f405fe,normal,regular,9,42.299,5.2874,5.7584,0.7183,8,0.0584,0.1155,5,0.0208,False,0,True,night
1ec47917-8be1-4c94-986f-1347b7ca3360,abusive,scraper,41,96.136,2.4034,0.927,0.8119,44,0.0763,0.1709,3,0.0353,False,2,False,afternoon
58086867-fdd5-4766-9b01-3772d9995f1a,normal,regular,16,139.014,9.2676,5.5835,0.7546,10,0.0582,0.0127,3,0.1091,True,0,True,evening
550a4a80-bc59-48af-864d-153401de207e,normal,regular,4,33.483,11.1611,12.0988,1.6674,10,0.0203,0.068,5,0.0964,True,2,True,night
de02e3a8-c5ed-416a-8061-1578d531a26f,normal,regular,12,148.293,13.4812,6.6903,5.8145,2,0.0699,0.1406,4,0.0838,True,1,True,evening
8a1b65a8-7283-4262-922b-13da302ec2a6,normal,regular,15,393.747,28.1248,56.8486,1.9876,9,0.0606,0.0479,4,0.0537,True,0,True,night
73bf12eb-3bdc-420f-a8b8-80229c2731e6,normal,regular,6,52.536,10.5073,6.7731,3.4358,10,0.1221,0.0154,3,0.1165,True,2,True,afternoon
857cd946-ab5f-41e1-afd4-2ebcc3632bbd,normal,regular,5,43.733,10.9332,9.4181,4.2167,10,0.1146,0.0549,3,0.0671,True,2,True,night
cff29b6b-ccb1-4c31-99fd-a1783698d195,abusive,card_testing,181,360.378,2.0021,1.1576,0.5134,3,0.9185,0.4939,2,0.103,False,0,True,morning
7ca2a86a-3399-4ded-a079-1d0a4e886d6e,normal,regular,16,186.342,12.4228,10.8327,2.9151,9,0.0807,0.1102,3,0.0555,True,0,True,night
e0aa3cde-b605-4106-a05d-a6aca3cd10ad,normal,regular,6,45.313,9.0627,3.826,3.0222,9,0.1375,0.0737,3,0.1368,True,0,True,morning
9fa4c43b-cbd6-490e-96a7-5db4495283c2,normal,regular,11,114.471,11.4471,4.7693,4.2332,9,0.0583,0.0589,3,0.1258,True,1,True,evening
77677970-12da-4045-bda7-33bf32f635c8,normal,regular,15,110.925,7.9232,6.0901,1.649,10,0.0159,0.0148,3,0.078,True,2,True,afternoon
99c61eaf-bc35-4baa-891f-960403605164,normal,regular,6,65.466,13.0932,7.1469,3.7477,2,0.0137,0.0372,4,0.0538,True,2,False,morning
ef3ef7d7-aa54-4750-84a8-0657ce73c67a,abusive,scraper,30,67.621,2.3318,1.1849,0.9716,74,0.2706,0.0245,6,0.03,False,1,False,afternoon
271250d9-3070-4c2e-bcfc-0f9d18225aa4,normal,regular,12,118.09,10.7355,9.998,3.8653,9,0.0346,0.1217,5,0.0474,True,1,True,night
7daf2e4f-ec26-4d43-a429-c0805f965704,normal,power_user,17,79.304,4.9565,4.0983,0.7116,11,0.0781,0.0841,3,0.0574,True,0,True,night
de16d4fd-cc6b-4d2b-8742-e5f57dab9d06,normal,regular,6,119.671,23.9342,36.254,2.7678,3,0.0193,0.0575,2,0.0588,True,0,True,evening
34605294-877e-454a-a8a4-f861d0e7faf1,abusive,promo_abuse,32,76.841,2.4787,1.2918,1.105,27,0.2766,0.1642,4,0.1155,False,9,False,evening
7a8bf95b-9079-4cd2-b6ea-118b569e34f6,normal,regular,6,77.596,15.5192,20.8566,0.9897,10,0.0982,0.0697,5,0.1232,True,0,False,afternoon
94ac9f3b-f7c1-42df-ac12-337ac7a8a79b,normal,ai_shopping_agent,18,50.582,2.9754,0.8955,1.308,7,0.1604,0.0832,2,0.1055,False,3,True,evening
c69345b9-30e4-4a67-889e-c7208891f052,normal,regular,6,63.908,12.7816,7.281,4.6659,5,0.1153,0.0683,5,0.0843,True,2,True,morning
668d5faa-f38e-46c6-98a8-25a55557facc,normal,power_user,27,52.788,2.0303,1.8284,0.1822,7,0.1352,0.0352,3,0.1285,True,1,True,evening
42ad1b8c-a1e5-4977-8976-a0feef295880,normal,ai_shopping_agent,40,137.607,3.5284,1.9383,0.9759,4,0.0965,0.1178,5,0.0556,False,1,True,afternoon
8e517f7c-2d26-4e3d-a8aa-848e2569a0bd,normal,regular,11,123.301,12.3301,6.9241,2.9529,3,0.1238,0.0935,5,0.0685,True,0,False,evening
80659b2b-0d2e-416c-ae3c-c234e1cdb0e6,normal,regular,16,146.089,9.7393,9.5573,0.984,10,0.05,0.0252,3,0.1378,True,0,True,afternoon
a4c3654f-f59a-4932-822e-61a87fa0a7c0,normal,regular,11,111.662,11.1662,8.3375,2.3177,10,0.0168,0.1418,2,0.1285,True,0,True,afternoon
2feb62c5-b311-48b4-8c9a-10cbbfa6f893,normal,regular,4,14.14,4.7134,2.0186,2.4328,4,0.1454,0.1139,2,0.0364,True,1,True,evening
